seconds, time, density, practical_salinity, seawater_temperature
3745671494.77, 16:18:14, 1034.770107, 34.516242, 2.434809
3745671495.79, 16:18:15, 1034.770082, 34.516245, 2.434809
3745671496.80, 16:18:16, 1034.770083, 34.516256, 2.434863
3745671497.81, 16:18:17, 1034.770136, 34.516324, 2.434863
3745671498.83, 16:18:18, 1034.770212, 34.516378, 2.434809
3745671499.84, 16:18:19, 1034.770212, 34.516378, 2.434809
3745671500.85, 16:18:20, 1034.770239, 34.516438, 2.434755
3745671501.86, 16:18:21, 1034.770295, 34.516517, 2.434809
3745671502.88, 16:18:22, 1034.770136, 34.516324, 2.434863
3745671503.89, 16:18:23, 1034.770162, 34.516384, 2.434809
3745671504.90, 16:18:24, 1034.770160, 34.516321, 2.434863
3745671505.91, 16:18:25, 1034.770108, 34.516264, 2.434917
3745671506.93, 16:18:26, 1034.770164, 34.516342, 2.434971
3745671507.94, 16:18:27, 1034.770061, 34.516228, 2.435079
3745671508.95, 16:18:28, 1034.770008, 34.516160, 2.435079
3745671509.96, 16:18:29, 1034.770219, 34.516410, 2.434971
3745671510.98, 16:18:30, 1034.770164, 34.516331, 2.434917
3745671511.99, 16:18:31, 1034.770321, 34.516514, 2.434809
3745671513.00, 16:18:33, 1034.770267, 34.516446, 2.434809
3745671514.01, 16:18:34, 1034.770111, 34.516274, 2.434971
3745671515.03, 16:18:35, 1034.770112, 34.516285, 2.435025
3745671516.04, 16:18:36, 1034.770217, 34.516399, 2.434917
3745671517.05, 16:18:37, 1034.770269, 34.516457, 2.434863
3745671518.07, 16:18:38, 1034.770110, 34.516263, 2.434917
3745671519.08, 16:18:39, 1034.769983, 34.516163, 2.435079
3745671520.09, 16:18:40, 1034.770057, 34.516206, 2.434971
3745671521.10, 16:18:41, 1034.770086, 34.516277, 2.434971
3745671522.12, 16:18:42, 1034.770271, 34.516467, 2.434917
3745671523.13, 16:18:43, 1034.770219, 34.516410, 2.434971
3745671524.14, 16:18:44, 1034.770190, 34.516339, 2.434971
3745671525.15, 16:18:45, 1034.770112, 34.516274, 2.434971
3745671526.17, 16:18:46, 1034.770110, 34.516263, 2.434917
3745671527.18, 16:18:47, 1034.770087, 34.516277, 2.434971
3745671528.19, 16:18:48, 1034.770085, 34.516266, 2.434917
3745671529.20, 16:18:49, 1034.770270, 34.516467, 2.434917
3745671530.22, 16:18:50, 1034.770214, 34.516389, 2.434863
3745671531.23, 16:18:51, 1034.770294, 34.516465, 2.434917
3745671532.24, 16:18:52, 1034.770163, 34.516332, 2.434917
3745671533.26, 16:18:53, 1034.770163, 34.516332, 2.434917
3745671534.27, 16:18:54, 1034.770267, 34.516446, 2.434809
3745671535.28, 16:18:55, 1034.770188, 34.516328, 2.434917
3745671536.29, 16:18:56, 1034.770164, 34.516342, 2.434971
3745671537.31, 16:18:57, 1034.770164, 34.516342, 2.434971
3745671538.32, 16:18:58, 1034.770164, 34.516342, 2.434971
3745671539.33, 16:18:59, 1034.770112, 34.516285, 2.435025
3745671540.34, 16:19:00, 1034.770007, 34.516160, 2.435079
3745671541.35, 16:19:01, 1034.770268, 34.516457, 2.434863
3745671542.37, 16:19:02, 1034.770268, 34.516457, 2.434863
3745671543.38, 16:19:03, 1034.770241, 34.516396, 2.434917
3745671544.39, 16:19:04, 1034.769904, 34.516045, 2.435186
3745671545.41, 16:19:05, 1034.770009, 34.516170, 2.435133
3745671546.42, 16:19:06, 1034.770218, 34.516410, 2.434971
3745671547.43, 16:19:07, 1034.770188, 34.516328, 2.434917
3745671548.44, 16:19:08, 1034.770061, 34.516228, 2.435079
3745671549.46, 16:19:09, 1034.770059, 34.516217, 2.435025
3745671550.47, 16:19:10, 1034.770296, 34.516475, 2.434971
3745671551.48, 16:19:11, 1034.770164, 34.516342, 2.434971
3745671552.49, 16:19:12, 1034.770190, 34.516350, 2.435025
3745671553.51, 16:19:13, 1034.770243, 34.516407, 2.434971
3745671554.52, 16:19:14, 1034.770162, 34.516332, 2.434917
3745671555.53, 16:19:15, 1034.770112, 34.516285, 2.435025
3745671556.54, 16:19:16, 1034.770141, 34.516303, 2.435133
3745671557.56, 16:19:17, 1034.770300, 34.516496, 2.435079
